,Close
0,4576.88859639302
1,939.8623565882118
2,651.1611205141442
3,396.70047864937953
4,609.4147604310191
5,421.954914329115
6,613.6344721929275
7,13578.706446492266
8,2317.121552695231
9,1186.0727032446805
10,2453.843723816256
11,460.4576013266186
12,1265.0027515345823
13,6314.319947374835
14,8122.882729048463
15,6320.1666677986605
16,7238.067496714338
17,404.7993368160443
18,894.9808638808845
19,380.3152890687096
20,4187.630737270988
21,6309.425411223995
22,417.09054212232354
23,3766.976236983377
24,9027.985400914316
25,10987.113309433771
26,6414.053481157368
27,743.924892236161
