Date,0
2016-01-01,20334286.005884435
2016-01-02,14566820.006158918
2016-01-03,23490162.00574246
2016-01-04,22943968.005781177
2016-01-05,19499588.005935255
2016-01-06,18702334.00592053
2016-01-07,58253615.00447842
2016-01-08,41594025.00540433
2016-01-09,17967113.00628276
2016-01-10,19778456.006124403
2016-01-11,25358480.00591511
2016-01-12,19913400.00613483
2016-01-13,39525195.00519421
2016-01-14,19948730.00589392
2016-01-15,107060613.00204246
2016-01-16,68297105.00300168
2016-01-17,25464382.004951097
2016-01-18,26546465.0048535
2016-01-19,25417876.004918665
2016-01-20,76873917.00302142
2016-01-21,37264942.004934795
2016-01-22,56548790.00392908
2016-01-23,23908533.00503965
2016-01-24,25770175.00507589
2016-01-25,26793044.00510279
2016-01-26,22384754.00520336
2016-01-27,17297117.0053981
2016-01-28,29717813.004852813
2016-01-29,51927041.00375894
2016-01-30,13720656.005338209
2016-01-31,14718855.00523901
2016-02-01,27728088.004660185
2016-02-02,19123252.005031835
2016-02-03,22266682.00488509
2016-02-04,38961905.004276775
2016-02-05,23688228.00508692
2016-02-06,29801286.004736133
2016-02-07,15395728.00525753
2016-02-08,23424062.004915364
2016-02-09,20801701.004971802
2016-02-10,37137791.00438189
2016-02-11,23858467.004934337
2016-02-12,20685663.005098615
2016-02-13,18757146.0052537
2016-02-14,29442484.004959926
2016-02-15,34862753.00487993
2016-02-16,27726590.005145725
2016-02-17,37559686.00487491
2016-02-18,32541108.00520266
2016-02-19,21991480.00565171
2016-02-20,48500793.00469019
2016-02-21,44120520.00502825
2016-02-22,24563748.005793408
2016-02-23,39915706.00509531
2016-02-24,28041199.005375903
2016-02-25,22692099.005651955
2016-02-26,22642013.005667806
2016-02-27,18543436.005928796
2016-02-28,21876091.005794227
2016-02-29,30077319.005541697
2016-03-01,29312670.005573083
2016-03-02,24894311.005700834
2016-03-03,33188751.00522212
2016-03-04,31416610.005212877
2016-03-05,51725937.00416939
2016-03-06,25324456.00522101
2016-03-07,25349627.00532409
2016-03-08,22204517.005529325
2016-03-09,21035428.00555329
2016-03-10,23114636.005494535
2016-03-11,25469781.005465783
2016-03-12,24660321.005467556
2016-03-13,14457108.005819717
2016-03-14,20471909.005596086
2016-03-15,20227610.00562839
2016-03-16,18509954.00570456
2016-03-17,18409340.005736724
2016-03-18,27178165.005327623
2016-03-19,15084656.00571728
2016-03-20,12577521.005862055
2016-03-21,17735457.005666677
2016-03-22,20425092.005599488
2016-03-23,16946522.005792003
2016-03-24,16210672.005809058
2016-03-25,14431200.005864844
2016-03-26,11696306.005989907
2016-03-27,26137150.00547166
2016-03-27,18410749.00583496
2016-03-28,28765857.00533612
2016-03-29,17890792.005701374
2016-03-30,17407273.005727235
2016-03-31,15852511.005811643
2016-04-01,13137339.005950024
2016-04-02,9591214.006117664
2016-04-03,14031939.00593882
2016-04-04,17260368.00583627
2016-04-05,13836754.005991744
2016-04-06,15200495.005920472
2016-04-07,19810838.00572493
2016-04-08,12291880.005975181
2016-04-09,9806327.006113337
2016-04-10,15374195.005910741
2016-04-11,24580503.005581435
2016-04-12,16183793.0059407
2016-04-13,13038970.006056812
2016-04-14,23214560.00567782
2016-04-15,12517265.006165246
2016-04-16,10980868.006212356
2016-04-17,13951524.006066613
2016-04-18,19713466.005891953
2016-04-19,32655415.005471714
2016-04-20,28168774.005763
2016-04-21,22225157.006053872
2016-04-22,18998211.006175637
2016-04-23,33984269.005675435
2016-04-24,37614684.00561122
2016-04-25,31451239.005932044
2016-04-26,41539684.00547178
2016-04-27,36369788.005431704
2016-04-28,20264761.006178204
2016-04-29,15994805.006394597
2016-04-30,9838490.006598944
2016-05-01,32863011.005651694
2016-05-02,22292253.006029908
2016-05-03,17676609.00625729
2016-05-04,18765369.00618122
2016-05-05,31122708.005768523
2016-05-06,14247601.006547827
2016-05-07,12689581.006604236
2016-05-08,22322043.0062363
2016-05-09,27247925.005998652
2016-05-10,18137209.006288715
2016-05-11,22252919.006128788
2016-05-12,14768796.006466314
2016-05-13,9319128.006704405
2016-05-14,9745309.006713402
2016-05-15,16731954.006415674
2016-05-16,15741822.006425288
2016-05-17,14884550.006456409
2016-05-18,26626097.00592561
2016-05-19,21415312.00600722
2016-05-20,10213550.006463407
2016-05-21,12691382.00635251
2016-05-22,15885933.006212762
2016-05-23,14837671.00631055
2016-05-24,16954105.006271932
2016-05-25,17093327.006313417
2016-05-26,63894987.00460362
2016-05-27,75400711.00460644
2016-05-28,80753301.00486806
2016-05-29,41433165.00648548
2016-05-30,60896411.005801104
2016-05-31,38742660.00669151
2016-06-01,28380698.0071943
2016-06-02,59464310.00613352
2016-06-03,50353517.00688974
2016-06-04,37233994.007428385
2016-06-05,37131086.00748374
2016-06-06,49082472.00693805
2016-06-07,28706216.007785257
2016-06-08,28010575.007836696
2016-06-09,26290866.007876605
2016-06-10,24790441.008052323
2016-06-11,139684630.00406665
2016-06-12,149442548.00454167
2016-06-13,92458349.00694114
2016-06-14,53863568.00845572
2016-06-15,169704647.00430012
2016-06-16,160302360.00514108
2016-06-17,91056993.0079794
2016-06-18,45805980.009861544
2016-06-19,83637617.00825931
2016-06-20,166828425.0041426
2016-06-21,129550795.00481017
2016-06-22,154289129.00291595
2016-06-23,128990817.00478408
2016-06-24,67442141.00757919
2016-06-25,56403088.0077858
2016-06-26,63747137.00723275
2016-06-27,49673830.00804225
2016-06-28,50898093.00786054
2016-06-29,58215062.0077164
2016-06-30,62394480.007932216
2016-07-01,46555796.008730076
2016-07-02,66591456.007921554
2016-07-03,42756935.008566484
